Geography,Date Interval,Date,Units,BodyType,Keepership,Petrol,Diesel,Hybrid electric (petrol),Hybrid electric (diesel),Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Battery electric,Range extended electric,Fuel cell electric,Gas,Others,Total
United Kingdom,Monthly,January 2024,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,February 2024,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,March 2024,Thousands,Buses and coaches,Total,[low],1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.2
United Kingdom,Monthly,April 2024,Thousands,Buses and coaches,Total,[low],0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8
United Kingdom,Monthly,May 2024,Thousands,Buses and coaches,Total,[low],0.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7
United Kingdom,Monthly,June 2024,Thousands,Buses and coaches,Total,[low],0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,[low],0.0,0.6
United Kingdom,Monthly,July 2024,Thousands,Buses and coaches,Total,[low],0.5,[low],0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7
United Kingdom,Monthly,August 2024,Thousands,Buses and coaches,Total,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,[low],0.0,0.8
United Kingdom,Monthly,September 2024,Thousands,Buses and coaches,Total,[low],1.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.4
United Kingdom,Monthly,October 2024,Thousands,Buses and coaches,Total,[low],0.8,0.0,0.0,[low],0.0,0.1,0.0,0.0,0.0,0.0,0.9
United Kingdom,Monthly,November 2024,Thousands,Buses and coaches,Total,[low],0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.9
United Kingdom,Monthly,December 2024,Thousands,Buses and coaches,Total,[low],1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.1
United Kingdom,Monthly,July 2014,Thousands,Cars,Total,80.8,92.9,2.0,0.2,0.5,[low],0.5,0.1,0.0,[low],[low],177.0
United Kingdom,Monthly,August 2014,Thousands,Cars,Total,36.3,36.3,0.6,0.1,0.2,0.0,0.2,0.1,0.0,[low],0.0,73.8
United Kingdom,Monthly,September 2014,Thousands,Cars,Total,213.9,204.7,6.5,0.4,1.7,[low],1.2,0.2,[low],[low],0.0,428.6
United Kingdom,Monthly,October 2014,Thousands,Cars,Total,83.3,93.5,2.8,0.2,1.1,[low],0.5,0.1,[low],[low],0.0,181.6
United Kingdom,Monthly,November 2014,Thousands,Cars,Total,81.3,89.2,2.8,0.2,1.1,[low],0.6,0.2,0.0,[low],0.0,175.4
United Kingdom,Monthly,December 2014,Thousands,Cars,Total,79.0,84.4,2.0,0.2,0.9,[low],1.1,0.2,0.0,[low],0.0,167.8
United Kingdom,Monthly,January 2015,Thousands,Cars,Total,79.9,82.1,2.6,0.3,1.1,[low],0.5,0.1,0.0,[low],[low],166.7
United Kingdom,Monthly,February 2015,Thousands,Cars,Total,38.0,38.9,1.0,0.1,0.4,[low],0.3,0.1,[low],[low],0.0,78.8
United Kingdom,Monthly,March 2015,Thousands,Cars,Total,250.5,230.2,7.4,0.7,3.9,[low],1.9,0.3,0.0,[low],0.0,495.0
United Kingdom,Monthly,April 2015,Thousands,Cars,Total,87.7,94.8,3.1,0.4,0.9,[low],0.5,0.1,0.0,[low],0.0,187.6
United Kingdom,Monthly,May 2015,Thousands,Cars,Total,97.7,97.5,2.6,0.4,1.3,[low],0.6,0.1,0.0,0.0,[low],200.2
United Kingdom,Monthly,June 2015,Thousands,Cars,Total,127.9,124.8,4.1,0.4,1.6,[low],0.9,0.1,0.0,[low],[low],259.9
United Kingdom,Monthly,July 2015,Thousands,Cars,Total,88.2,88.4,2.4,0.3,1.1,[low],0.4,0.1,[low],[low],[low],181.0
United Kingdom,Monthly,August 2015,Thousands,Cars,Total,40.2,39.1,1.0,0.1,0.5,[low],0.3,0.1,0.0,[low],[low],81.3
United Kingdom,Monthly,September 2015,Thousands,Cars,Total,239.8,213.3,7.6,0.6,2.2,[low],1.6,0.2,[low],[low],0.0,465.4
United Kingdom,Monthly,October 2015,Thousands,Cars,Total,82.9,91.9,3.2,0.2,1.2,[low],0.7,0.1,[low],[low],[low],180.3
United Kingdom,Monthly,November 2015,Thousands,Cars,Total,83.8,92.5,2.8,0.2,1.5,[low],0.8,0.2,0.0,[low],[low],181.8
United Kingdom,Monthly,December 2015,Thousands,Cars,Total,86.4,90.5,2.8,0.2,1.4,[low],1.5,0.2,[low],[low],0.0,183.0
United Kingdom,Monthly,January 2016,Thousands,Cars,Total,82.9,83.1,3.6,0.1,1.5,[low],0.6,0.2,[low],[low],0.0,172.1
United Kingdom,Monthly,February 2016,Thousands,Cars,Total,42.7,41.3,1.0,[low],1.0,[low],0.2,[low],0.0,0.0,0.0,86.4
United Kingdom,Monthly,March 2016,Thousands,Cars,Total,262.5,242.0,9.4,0.3,5.2,[low],2.4,0.2,[low],0.0,0.0,522.1
United Kingdom,Monthly,April 2016,Thousands,Cars,Total,90.2,94.4,3.4,0.1,2.2,[low],0.6,0.1,[low],[low],[low],191.1
United Kingdom,Monthly,May 2016,Thousands,Cars,Total,97.7,102.7,3.2,0.1,1.9,[low],0.5,0.1,[low],[low],0.0,206.2
United Kingdom,Monthly,June 2016,Thousands,Cars,Total,127.5,122.4,5.0,0.1,2.2,[low],1.0,0.1,0.0,[low],0.0,258.4
United Kingdom,Monthly,July 2016,Thousands,Cars,Total,88.7,87.2,3.1,0.1,1.9,0.1,0.5,0.1,0.0,[low],0.0,181.5
United Kingdom,Monthly,August 2016,Thousands,Cars,Total,42.5,39.5,1.4,[low],0.8,[low],0.3,0.1,[low],[low],0.0,84.7
United Kingdom,Monthly,September 2016,Thousands,Cars,Total,237.6,218.6,9.4,0.2,3.9,0.1,2.2,0.5,[low],[low],0.0,472.5
United Kingdom,Monthly,October 2016,Thousands,Cars,Total,86.7,89.1,3.6,0.1,1.8,0.1,0.4,0.2,[low],[low],[low],182.0
United Kingdom,Monthly,November 2016,Thousands,Cars,Total,90.5,89.3,3.9,0.1,2.0,[low],0.6,0.1,[low],[low],0.0,186.6
United Kingdom,Monthly,December 2016,Thousands,Cars,Total,89.6,84.2,3.1,0.2,1.7,0.1,1.2,0.2,[low],0.0,0.0,180.2
United Kingdom,Monthly,January 2017,Thousands,Cars,Total,89.8,79.3,4.5,[low],1.5,[low],1.0,0.2,[low],[low],0.0,176.5
United Kingdom,Monthly,February 2017,Thousands,Cars,Total,44.0,37.2,1.9,[low],0.8,[low],0.5,0.1,0.0,[low],[low],84.5
United Kingdom,Monthly,March 2017,Thousands,Cars,Total,296.7,245.9,14.3,0.2,4.8,0.1,3.2,0.4,[low],[low],0.0,565.6
United Kingdom,Monthly,April 2017,Thousands,Cars,Total,77.5,68.6,3.5,[low],1.9,0.1,0.7,0.1,[low],[low],0.0,152.5
United Kingdom,Monthly,May 2017,Thousands,Cars,Total,97.6,82.2,5.0,0.1,2.1,0.1,1.0,0.2,0.0,[low],0.0,188.1
United Kingdom,Monthly,June 2017,Thousands,Cars,Total,130.3,104.6,6.3,0.1,2.7,0.1,1.5,0.3,[low],[low],0.0,245.8
United Kingdom,Monthly,July 2017,Thousands,Cars,Total,85.0,69.7,5.3,[low],2.6,[low],0.9,0.1,[low],[low],0.0,163.6
United Kingdom,Monthly,August 2017,Thousands,Cars,Total,43.7,31.1,2.4,[low],1.2,[low],0.5,[low],0.0,0.0,[low],78.8
United Kingdom,Monthly,September 2017,Thousands,Cars,Total,234.1,171.6,14.6,0.1,5.4,0.1,2.2,0.5,[low],0.0,0.0,428.6
United Kingdom,Monthly,October 2017,Thousands,Cars,Total,89.1,63.3,4.8,[low],2.7,0.1,0.7,0.2,[low],[low],[low],160.7
United Kingdom,Monthly,November 2017,Thousands,Cars,Total,94.6,62.6,4.8,0.1,3.1,[low],0.9,0.2,0.0,[low],0.0,166.3
United Kingdom,Monthly,December 2017,Thousands,Cars,Total,87.1,57.4,4.1,0.1,3.4,[low],1.0,0.1,[low],[low],0.0,153.3
United Kingdom,Monthly,January 2018,Thousands,Cars,Total,97.2,59.2,5.8,0.1,2.6,[low],0.7,0.1,0.0,0.0,0.0,165.7
United Kingdom,Monthly,February 2018,Thousands,Cars,Total,50.2,29.0,2.1,[low],1.1,[low],0.4,0.1,0.0,[low],[low],82.9
United Kingdom,Monthly,March 2018,Thousands,Cars,Total,297.8,154.0,14.9,0.1,6.1,0.1,3.1,0.2,[low],0.0,0.0,476.2
United Kingdom,Monthly,April 2018,Thousands,Cars,Total,108.1,51.4,5.6,[low],2.8,[low],1.0,0.1,[low],[low],0.0,169.0
